"ID","State","Name","County","Lat","Lon","Combust","Fuel","FuelCat","Capacity","HeatInput","NetGen","NOX","SO2","CO2","CoalGen","OilGen","GasGen","NuclearGen","HydroGen","BiomassGen","WindGen","SolarGen","GeoGen","OtherFossilGen","OtherGen","NonRenewGen","RenewGen","CombGen","NonCombGen","CoalPortion","CapFac","SO2OutRate","CO2OutRate","NOXOutRate","NOXInRate","CO2InRate","SO2InRate"
1,"AK","Alakanuk","Wade Hampton",62.6833,-164.6544,1,"JF","OIL",1.3,15801.5,1859,19.26,0,1262.7,0,1859,0,0,0,0,0,0,0,0,0,1859,0,1859,0,0,0.16324200913242,0,0.679236148466918,0.0103604088219473,0.00121887162611145,0.079910135113755,0
2,"AK","Anchorage 1","Anchorage",61.2328,-149.8909,1,"NG","GAS",103.1,666135,55428,92,1.32,39074.5,0,366.5,55061.5,0,0,0,0,0,0,0,0,55428,0,55428,0,0,0.0613714574226379,2.38146785018402e-05,0.704959587212239,0.00165981092588583,0.000138110142838914,0.0586585301778168,1.98158031029746e-06
3,"AK","Angoon","Juneau",57.8425,-134.9772,1,"DFO","OIL",1.5,16388,1928,19.98,0.66,1340.7,0,1928,0,0,0,0,0,0,0,0,0,1928,0,1928,0,0,0.146727549467275,0.000342323651452282,0.695383817427386,0.0103630705394191,0.00121918476934342,0.0818098608738101,4.0273370759092e-05
4,"AK","Aniak","Bethel",61.5875,-159.5317,1,"DFO","OIL",1.1,28860,2725,35.18,1.19,2361.1,0,2725,0,0,0,0,0,0,0,0,0,2725,0,2725,0,0,0.282793690327937,0.000436697247706422,0.86645871559633,0.0129100917431193,0.00121898821898822,0.0818121968121968,4.12335412335412e-05
5,"AK","Annex Creek","Juneau",58.3167,-134.0958,0,"WAT","HYDRO",4,0,26436,0,0,0,0,0,0,0,26436,0,0,0,0,0,0,0,26436,0,26436,0,0.754452054794521,0,0,0,NA,NA,NA
6,"AK","Auke Bay","Juneau",58.3861,-134.6389,1,"DFO","OIL",36.2,5506,335,0.99,0.23,450.5,0,335,0,0,0,0,0,0,0,0,0,335,0,335,0,0,0.0010564090920558,0.000686567164179104,1.34477611940299,0.00295522388059701,0.000179803850345078,0.0818198329095532,4.17726116963313e-05
7,"AK","Aurora Energy LLC Chena","Fairbanks",64.8461,-147.7286,1,"SUB","COAL",29,3229698.2,204196,1278.31,581.4,347748.2,204196,0,0,0,0,0,0,0,0,0,0,204196,0,204196,0,1,0.803794678003464,0.00284726439303414,1.70301181218045,0.00626021077788008,0.000395798591955124,0.107672041926394,0.000180016820147468
8,"AK","Barrow","North Slope",71.2789,-156.7981,1,"NG","GAS",20.3,423325.5,49803,58.42,0.74,24766.4,0,0,49803,0,0,0,0,0,0,0,0,49803,0,49803,0,0,0.280062757271071,1.48585426580728e-05,0.497287312009317,0.00117302170551975,0.000138002553590559,0.0585043896481549,1.74806384212621e-06
9,"AK","Beaver Falls","Ketchikan",55.3633,-131.6778,0,"WAT","HYDRO",5.4,0,40956,0,0,0,0,0,0,0,40956,0,0,0,0,0,0,0,40956,0,40956,0,0.865804160324708,0,0,0,NA,NA,NA
10,"AK","Beluga","Kenai Peninsula",61.1861,-151.0356,1,"NG","GAS",374.4,23485485,2240960,2377.01,41.1,1374006.2,0,0,2240960,0,0,0,0,0,0,0,0,2240960,0,2240960,0,0,0.683272840807087,1.83403541339426e-05,0.613132853776953,0.00106071058831929,0.000101211876186504,0.0585044847913509,1.75001708502081e-06
11,"AK","Bernice Lake","Kenai Peninsula",60.6935,-151.3874,1,"NG","GAS",76.7,461686,24555,63.71,0.81,27010.7,0,0,24555,0,0,0,0,0,0,0,0,24555,0,24555,0,0,0.0365460520440785,3.29871716554673e-05,1.10000814498066,0.00259458358786398,0.000137994221180629,0.0585044814007789,1.75443916428049e-06
12,"AK","Bethel","Bethel",60.7897,-161.7878,1,"DFO","OIL",12.6,356371,41926,434.42,15.18,29155.5,0,41926,0,0,0,0,0,0,0,0,0,41926,0,41926,0,0,0.379847068203233,0.000362066498115728,0.695403806707055,0.0103615894671564,0.00121901052554781,0.0818122125537712,4.25960586018503e-05
13,"AK","Black Bear Lake","Prince of Wales",55.4764,-133.1483,0,"WAT","HYDRO",4.5,0,20822,0,0,0,0,0,0,0,20822,0,0,0,0,0,0,0,20822,0,20822,0,0.528209030948757,0,0,0,NA,NA,NA
14,"AK","Blue Lake","Sitka",57.0516,-135.2297,0,"WAT","HYDRO",7,0,58422,0,0,0,0,0,0,0,58422,0,0,0,0,0,0,0,58422,0,58422,0,0.952739726027397,0,0,0,NA,NA,NA
